feature,importance
cat__customer_city_bage,0.0
cat__customer_city_baguari,0.0
cat__customer_city_baianopolis,0.0
cat__customer_city_baixo guandu,0.0
cat__customer_city_baldim,0.0
cat__customer_city_balneario arroio do silva,0.0
cat__customer_city_balneario barra do sul,0.0
cat__customer_city_balneario camboriu,0.0
cat__customer_city_balneario picarras,0.0
cat__customer_city_balneario pinhal,0.0
cat__customer_city_balneario rincao,0.0
cat__customer_city_balsa nova,0.0
cat__customer_city_balsamo,0.0
cat__customer_city_balsas,0.0
cat__customer_city_bambui,0.0
cat__customer_city_bananal,0.0
cat__customer_city_bananeiras,0.0
cat__customer_city_bandeira do sul,0.0
cat__customer_city_bandeirantes,0.0
cat__customer_city_bandeirantes do tocantins,0.0
cat__customer_city_barao,0.0
cat__customer_city_barao ataliba nogueira,0.0
cat__customer_city_barao de cocais,0.0
cat__customer_city_barao de cotegipe,0.0
cat__customer_city_barao do triunfo,0.0
cat__customer_city_barbalha,0.0
cat__customer_city_barbosa ferraz,0.0
cat__customer_city_barcarena,0.0
cat__customer_city_bariri,0.0
cat__customer_city_barra bonita,0.0
cat__customer_city_barra da estiva,0.0
cat__customer_city_barra de guabiraba,0.0
cat__customer_city_barra de santo antonio,0.0
cat__customer_city_barra de sao francisco,0.0
cat__customer_city_barra de sao joao,0.0
cat__customer_city_barra do corda,0.0
cat__customer_city_barra do garcas,0.0
cat__customer_city_barra do mendes,0.0
cat__customer_city_barra do pirai,0.0
cat__customer_city_barra do ribeiro,0.0
cat__customer_city_barra do rio azul,0.0
cat__customer_city_barra velha,0.0
cat__customer_city_barracao,0.0
cat__customer_city_barras,0.0
cat__customer_city_barreira,0.0
cat__customer_city_barreiras,0.0
cat__customer_city_barreirinhas,0.0
cat__customer_city_barretos,0.0
cat__customer_city_barrinha,0.0
cat__customer_city_barro alto,0.0
cat__customer_city_barrolandia,0.0
cat__customer_city_barroso,0.0
cat__customer_city_bastos,0.0
cat__customer_city_bataguassu,0.0
cat__customer_city_bataipora,0.0
cat__customer_city_batalha,0.0
cat__customer_city_batatais,0.0
cat__customer_city_bataypora,0.0
cat__customer_city_bauru,0.0
cat__customer_city_bayeux,0.0
cat__customer_city_bebedouro,0.0
cat__customer_city_beberibe,0.0
cat__customer_city_bela cruz,0.0
cat__customer_city_bela vista de goias,0.0
cat__customer_city_bela vista de minas,0.0
cat__customer_city_belem,0.0
cat__customer_city_belem do sao francisco,0.0
cat__customer_city_belford roxo,0.0
cat__customer_city_belo jardim,0.0
cat__customer_city_belo oriente,0.0
cat__customer_city_belo vale,0.0
cat__customer_city_benedito novo,0.0
cat__customer_city_bento de abreu,0.0
cat__customer_city_bento goncalves,0.0
cat__customer_city_berizal,0.0
cat__customer_city_bertioga,0.0
cat__customer_city_bezerros,0.0
cat__customer_city_bicas,0.0
cat__customer_city_biguacu,0.0
cat__customer_city_bilac,0.0
cat__customer_city_birigui,0.0
cat__customer_city_biritiba-mirim,0.0
cat__customer_city_blumenau,0.0
cat__customer_city_boa esperanca,0.0
cat__customer_city_boa esperanca do sul,0.0
cat__customer_city_boa viagem,0.0
cat__customer_city_boa vista,0.0
cat__customer_city_boa vista da aparecida,0.0
cat__customer_city_boa vista das missoes,0.0
cat__customer_city_boa vista do burica,0.0
cat__customer_city_boa vista do gurupi,0.0
cat__customer_city_boca da mata,0.0
cat__customer_city_bocaina,0.0
cat__customer_city_bocaiuva,0.0
cat__customer_city_bodo,0.0
cat__customer_city_bodoquena,0.0
cat__customer_city_bofete,0.0
cat__customer_city_boituva,0.0
cat__customer_city_bom conselho,0.0
cat__customer_city_bom despacho,0.0
cat__customer_city_bom jardim,0.0
cat__customer_city_bom jardim de minas,0.0
cat__customer_city_bom jesus,0.0
cat__customer_city_bom jesus da lapa,0.0
cat__customer_city_bom jesus da penha,0.0
cat__customer_city_bom jesus das selvas,0.0
cat__customer_city_bom jesus do araguaia,0.0
cat__customer_city_bom jesus do galho,0.0
cat__customer_city_bom jesus do itabapoana,0.0
cat__customer_city_bom jesus do norte,0.0
cat__customer_city_bom jesus do tocantins,0.0
cat__customer_city_bom jesus dos perdoes,0.0
cat__customer_city_bom principio,0.0
cat__customer_city_bom repouso,0.0
cat__customer_city_bom retiro do sul,0.0
cat__customer_city_bom sucesso,0.0
cat__customer_city_bombinhas,0.0
cat__customer_city_bonfim paulista,0.0
cat__customer_city_bonito,0.0
cat__customer_city_boquira,0.0
cat__customer_city_boraceia,0.0
cat__customer_city_borborema,0.0
cat__customer_city_borda da mata,0.0
cat__customer_city_botelhos,0.0
cat__customer_city_botucatu,0.0
cat__customer_city_botuvera,0.0
cat__customer_city_braco do norte,0.0
cat__customer_city_braco do rio,0.0
cat__customer_city_braganca,0.0
cat__customer_city_braganca paulista,0.0
cat__customer_city_bras pires,0.0
cat__customer_city_brasil novo,0.0
cat__customer_city_brasileia,0.0
cat__customer_city_brasilia de minas,0.0
cat__customer_city_brasopolis,0.0
cat__customer_city_braunas,0.0
cat__customer_city_brazabrantes,0.0
cat__customer_city_brazopolis,0.0
cat__customer_city_brejo da madre de deus,0.0
cat__customer_city_brejo santo,0.0
cat__customer_city_brejolandia,0.0
cat__customer_city_brodowski,0.0
cat__customer_city_brotas,0.0
cat__customer_city_brotas de macaubas,0.0
cat__customer_city_brumadinho,0.0
cat__customer_city_brumado,0.0
cat__customer_city_brusque,0.0
cat__customer_city_buenopolis,0.0
cat__customer_city_buenos aires,0.0
cat__customer_city_buri,0.0
cat__customer_city_buritama,0.0
cat__customer_city_buriti,0.0
cat__customer_city_buriti do tocantins,0.0
cat__customer_city_buriticupu,0.0
cat__customer_city_buritis,0.0
cat__customer_city_buritizeiro,0.0
cat__customer_city_butia,0.0
cat__customer_city_caarapo,0.0
cat__customer_city_cabo de santo agostinho,0.0
cat__customer_city_cabo frio,0.0
cat__customer_city_cabo verde,0.0
cat__customer_city_cabreuva,0.0
cat__customer_city_cabrobo,0.0
cat__customer_city_cacador,0.0
cat__customer_city_cacapava,0.0
cat__customer_city_cacapava do sul,0.0
cat__customer_city_cacequi,0.0
cat__customer_city_caceres,0.0
cat__customer_city_cachoeira,0.0
cat__customer_city_cachoeira alta,0.0
cat__customer_city_cachoeira da prata,0.0
cat__customer_city_cachoeira de minas,0.0
cat__customer_city_cachoeira do campo,0.0
cat__customer_city_cachoeira do sul,0.0
cat__customer_city_cachoeira dourada,0.0
cat__customer_city_cachoeira paulista,0.0
cat__customer_city_cachoeiras de macacu,0.0
cat__customer_city_cachoeirinha,0.0
cat__customer_city_cachoeiro de itapemirim,0.0
cat__customer_city_cacoal,0.0
cat__customer_city_caconde,0.0
cat__customer_city_cacu,0.0
cat__customer_city_cacule,0.0
cat__customer_city_caetanopolis,0.0
cat__customer_city_caete,0.0
cat__customer_city_caetite,0.0
cat__customer_city_cafelandia,0.0
cat__customer_city_caiana,0.0
cat__customer_city_caiaponia,0.0
cat__customer_city_caibate,0.0
cat__customer_city_caico,0.0
cat__customer_city_caieiras,0.0
cat__customer_city_caiua,0.0
cat__customer_city_cajamar,0.0
cat__customer_city_cajati,0.0
cat__customer_city_cajazeiras,0.0
cat__customer_city_cajobi,0.0
cat__customer_city_cajueiro,0.0
cat__customer_city_cajuri,0.0
cat__customer_city_cajuru,0.0
cat__customer_city_caldas,0.0
cat__customer_city_caldas do jorro,0.0
cat__customer_city_caldas novas,0.0
cat__customer_city_caldeirao grande,0.0
cat__customer_city_california,0.0
cat__customer_city_california da barra,0.0
cat__customer_city_camacari,0.0
cat__customer_city_camamu,0.0
cat__customer_city_camanducaia,0.0
cat__customer_city_camapua,0.0
cat__customer_city_camaqua,0.0
cat__customer_city_camaragibe,0.0
cat__customer_city_cambara,0.0
cat__customer_city_cambe,0.0
cat__customer_city_cambiasca,0.0
cat__customer_city_camboriu,0.0
cat__customer_city_cambuci,0.0
cat__customer_city_cambui,0.0
cat__customer_city_cambuquira,0.0
cat__customer_city_cameta,0.0
cat__customer_city_camocim,0.0
cat__customer_city_camocim de sao felix,0.0
cat__customer_city_campanha,0.0
cat__customer_city_campestre,0.0
cat__customer_city_campestre da serra,0.0
cat__customer_city_campestre do maranhao,0.0
cat__customer_city_campina da lagoa,0.0
cat__customer_city_campina grande,0.0
cat__customer_city_campina grande do sul,0.0
cat__customer_city_campina verde,0.0
cat__customer_city_campinacu,0.0
cat__customer_city_campinapolis,0.0
cat__customer_city_campo alegre,0.0
cat__customer_city_campo alegre de goias,0.0
cat__customer_city_campo alegre de lourdes,0.0
cat__customer_city_campo belo,0.0
cat__customer_city_campo bom,0.0
cat__customer_city_campo do meio,0.0
cat__customer_city_campo formoso,0.0
cat__customer_city_campo grande,0.0
cat__customer_city_campo largo,0.0
cat__customer_city_campo limpo paulista,0.0
cat__customer_city_campo maior,0.0
cat__customer_city_campo mourao,0.0
cat__customer_city_campo novo,0.0
cat__customer_city_campo novo do parecis,0.0
cat__customer_city_campo verde,0.0
cat__customer_city_campos altos,0.0
cat__customer_city_campos belos,0.0
cat__customer_city_campos borges,0.0
cat__customer_city_campos de julio,0.0
cat__customer_city_campos do jordao,0.0
cat__customer_city_campos dos goytacazes,0.0
cat__customer_city_campos gerais,0.0
cat__customer_city_campos novos,0.0
cat__customer_city_campos sales,0.0
cat__customer_city_campos verdes,0.0
cat__customer_city_camutanga,0.0
cat__customer_city_canaa,0.0
cat__customer_city_canaa dos carajas,0.0
cat__customer_city_cananeia,0.0
cat__customer_city_canapolis,0.0
cat__customer_city_canarana,0.0
cat__customer_city_canavieiras,0.0
cat__customer_city_candeias,0.0
cat__customer_city_candido mota,0.0
cat__customer_city_candido rodrigues,0.0
cat__customer_city_candido sales,0.0
cat__customer_city_candiota,0.0
cat__customer_city_canela,0.0
cat__customer_city_canelinha,0.0
cat__customer_city_cangucu,0.0
cat__customer_city_caninde,0.0
cat__customer_city_canitar,0.0
cat__customer_city_canoas,0.0
cat__customer_city_canoinhas,0.0
cat__customer_city_cantagalo,0.0
cat__customer_city_canto do buriti,0.0
cat__customer_city_capanema,0.0
cat__customer_city_capao bonito,0.0
cat__customer_city_capao da canoa,0.0
cat__customer_city_capao do leao,0.0
cat__customer_city_caparao,0.0
cat__customer_city_capela,0.0
cat__customer_city_capela de santana,0.0
cat__customer_city_capela do alto,0.0
cat__customer_city_capelinha,0.0
cat__customer_city_capim branco,0.0
cat__customer_city_capim grosso,0.0
cat__customer_city_capinopolis,0.0
cat__customer_city_capinzal,0.0
cat__customer_city_capitao leonidas marques,0.0
cat__customer_city_capitao poco,0.0
cat__customer_city_capivari,0.0
cat__customer_city_capivari de baixo,0.0
cat__customer_city_capoeiras,0.0
cat__customer_city_caputira,0.0
cat__customer_city_caraguatatuba,0.0
cat__customer_city_caraiba,0.0
cat__customer_city_carambei,0.0
cat__customer_city_carandai,0.0
cat__customer_city_carangola,0.0
cat__customer_city_carapebus,0.0
cat__customer_city_caratinga,0.0
cat__customer_city_caravelas,0.0
cat__customer_city_carazinho,0.0
cat__customer_city_carbonita,0.0
cat__customer_city_cardoso,0.0
cat__customer_city_cardoso moreira,0.0
cat__customer_city_cariacica,0.0
cat__customer_city_carire,0.0
cat__customer_city_caririacu,0.0
cat__customer_city_carlopolis,0.0
cat__customer_city_carlos barbosa,0.0
cat__customer_city_carlos chagas,0.0
cat__customer_city_carmo,0.0
cat__customer_city_carmo da mata,0.0
cat__customer_city_carmo de minas,0.0
cat__customer_city_carmo do cajuru,0.0
cat__customer_city_carmo do paranaiba,0.0
cat__customer_city_carmo do rio claro,0.0
cat__customer_city_carmo do rio verde,0.0
cat__customer_city_carmolandia,0.0
cat__customer_city_carmopolis de minas,0.0
cat__customer_city_carnaubal,0.0
cat__customer_city_carneirinho,0.0
cat__customer_city_carpina,0.0
cat__customer_city_carrancas,0.0
cat__customer_city_caruaru,0.0
cat__customer_city_carutapera,0.0
cat__customer_city_carvalhopolis,0.0
cat__customer_city_casa branca,0.0
cat__customer_city_casa nova,0.0
cat__customer_city_casca,0.0
cat__customer_city_cascavel,0.0
cat__customer_city_caseiros,0.0
cat__customer_city_casimiro de abreu,0.0
cat__customer_city_cassia,0.0
cat__customer_city_cassia dos coqueiros,0.0
cat__customer_city_cassilandia,0.0
cat__customer_city_castanhal,0.0
cat__customer_city_castanheiras,0.0
cat__customer_city_castelandia,0.0
cat__customer_city_castelo,0.0
cat__customer_city_castilho,0.0
cat__customer_city_castro,0.0
cat__customer_city_castro alves,0.0
cat__customer_city_cataguases,0.0
cat__customer_city_catalao,0.0
cat__customer_city_catanduva,0.0
cat__customer_city_catanduvas,0.0
cat__customer_city_catas altas,0.0
cat__customer_city_catende,0.0
cat__customer_city_catigua,0.0
cat__customer_city_catole do rocha,0.0
cat__customer_city_catu,0.0
cat__customer_city_catu de abrantes,0.0
cat__customer_city_catuipe,0.0
cat__customer_city_caturama,0.0
cat__customer_city_caucaia,0.0
cat__customer_city_caxambu,0.0
cat__customer_city_caxambu do sul,0.0
cat__customer_city_caxias,0.0
cat__customer_city_caxias do sul,0.0
cat__customer_city_ceara-mirim,0.0
cat__customer_city_cedral,0.0
cat__customer_city_cedro de sao joao,0.0
cat__customer_city_cedro do abaete,0.0
cat__customer_city_ceilandia,0.0
cat__customer_city_celina,0.0
cat__customer_city_centenario,0.0
cat__customer_city_centenario do sul,0.0
cat__customer_city_central,0.0
cat__customer_city_cerejeiras,0.0
cat__customer_city_ceres,0.0
cat__customer_city_cerqueira cesar,0.0
cat__customer_city_cerquilho,0.0
cat__customer_city_cerrito,0.0
cat__customer_city_cerro azul,0.0
cat__customer_city_cerro grande,0.0
cat__customer_city_cerro largo,0.0
cat__customer_city_cesario lange,0.0
cat__customer_city_cha grande,0.0
cat__customer_city_chapada gaucha,0.0
cat__customer_city_chapadao do ceu,0.0
cat__customer_city_chapadao do sul,0.0
cat__customer_city_chapadinha,0.0
cat__customer_city_chapeco,0.0
cat__customer_city_charqueada,0.0
cat__customer_city_charqueadas,0.0
cat__customer_city_chaval,0.0
cat__customer_city_chavantes,0.0
cat__customer_city_chaveslandia,0.0
cat__customer_city_chiapetta,0.0
cat__customer_city_chopinzinho,0.0
cat__customer_city_chui,0.0
cat__customer_city_cianorte,0.0
cat__customer_city_cicero dantas,0.0
cat__customer_city_cidade gaucha,0.0
cat__customer_city_cidade ocidental,0.0
cat__customer_city_cidreira,0.0
cat__customer_city_cipo-guacu,0.0
cat__customer_city_claraval,0.0
cat__customer_city_claudia,0.0
cat__customer_city_claudio,0.0
cat__customer_city_clementina,0.0
cat__customer_city_clevelandia,0.0
cat__customer_city_coaraci,0.0
cat__customer_city_cocal,0.0
cat__customer_city_cocal do sul,0.0
cat__customer_city_codo,0.0
cat__customer_city_coelho neto,0.0
cat__customer_city_coimbra,0.0
cat__customer_city_coite do noia,0.0
cat__customer_city_colatina,0.0
cat__customer_city_colider,0.0
cat__customer_city_colina,0.0
cat__customer_city_colinas,0.0
cat__customer_city_colniza,0.0
cat__customer_city_colombia,0.0
cat__customer_city_colombo,0.0
cat__customer_city_colonia leopoldina,0.0
cat__customer_city_colonia vitoria,0.0
cat__customer_city_colorado,0.0
cat__customer_city_colorado do oeste,0.0
cat__customer_city_combinado,0.0
cat__customer_city_comendador levy gasparian,0.0
cat__customer_city_conceicao da aparecida,0.0
cat__customer_city_conceicao da barra,0.0
cat__customer_city_conceicao das pedras,0.0
cat__customer_city_conceicao de macabu,0.0
cat__customer_city_conceicao do almeida,0.0
cat__customer_city_conceicao do caninde,0.0
cat__customer_city_conceicao do coite,0.0
cat__customer_city_conceicao do mato dentro,0.0
cat__customer_city_conceicao do rio verde,0.0
cat__customer_city_conceicao do tocantins,0.0
cat__customer_city_conceicao dos ouros,0.0
cat__customer_city_conchal,0.0
cat__customer_city_conchas,0.0
cat__customer_city_concordia,0.0
cat__customer_city_concordia do para,0.0
cat__customer_city_condeuba,0.0
cat__customer_city_condor,0.0
cat__customer_city_confresa,0.0
cat__customer_city_congonhal,0.0
cat__customer_city_congonhas,0.0
cat__customer_city_conquista,0.0
cat__customer_city_conselheiro lafaiete,0.0
cat__customer_city_conselheiro pena,0.0
cat__customer_city_coracao de maria,0.0
cat__customer_city_corbelia,0.0
cat__customer_city_cordeiro,0.0
cat__customer_city_cordeiropolis,0.0
cat__customer_city_coremas,0.0
cat__customer_city_corguinho,0.0
cat__customer_city_coribe,0.0
cat__customer_city_corinto,0.0
cat__customer_city_cornelio procopio,0.0
cat__customer_city_coroados,0.0
cat__customer_city_coroata,0.0
cat__customer_city_coromandel,0.0
cat__customer_city_coronel fabriciano,0.0
cat__customer_city_coronel martins,0.0
cat__customer_city_coronel murta,0.0
cat__customer_city_coronel sapucaia,0.0
cat__customer_city_coronel vivida,0.0
cat__customer_city_corrego do ouro,0.0
cat__customer_city_correia pinto,0.0
cat__customer_city_corrente,0.0
cat__customer_city_correntina,0.0
cat__customer_city_corumba,0.0
cat__customer_city_corumbaiba,0.0
cat__customer_city_corumbatai,0.0
cat__customer_city_corupa,0.0
cat__customer_city_coruripe,0.0
cat__customer_city_cosmopolis,0.0
cat__customer_city_cosmorama,0.0
cat__customer_city_coxilha,0.0
cat__customer_city_coxim,0.0
cat__customer_city_crateus,0.0
cat__customer_city_crato,0.0
cat__customer_city_cravinhos,0.0
cat__customer_city_criciuma,0.0
cat__customer_city_crisolita,0.0
cat__customer_city_crisopolis,0.0
cat__customer_city_cristais,0.0
cat__customer_city_cristais paulista,0.0
cat__customer_city_cristalandia,0.0
cat__customer_city_cristalia,0.0
cat__customer_city_cristalina,0.0
cat__customer_city_cristina,0.0
cat__customer_city_crixas,0.0
cat__customer_city_croata,0.0
cat__customer_city_crominia,0.0
cat__customer_city_cruz,0.0
cat__customer_city_cruz alta,0.0
cat__customer_city_cruz das almas,0.0
cat__customer_city_cruz machado,0.0
cat__customer_city_cruzeiro,0.0
cat__customer_city_cruzeiro da fortaleza,0.0
cat__customer_city_cruzeiro do iguacu,0.0
cat__customer_city_cruzeiro do oeste,0.0
cat__customer_city_cruzeiro do sul,0.0
cat__customer_city_cruzilia,0.0
cat__customer_city_cubatao,0.0
cat__customer_city_cubati,0.0
